topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
28796	3305	10977	6460	19657	1345	17864	75192	69461	25560	38328	118949	118982	17998	23126
0	0	0	0	0	0	0	0	0	130320	105120	223760	116800	0	0
0	0	3200	0	6400	0	0	7680	145920	6400	0	279680	121600	0	5120
23528	36582	48358	27206	74482	38378	19706	39568	48478	52934	59632	31430	26966	19186	29566
161280	69120	0	0	0	0	345600	0	0	0	0	0	0	0	0
0	26400	0	0	0	0	444800	0	0	0	0	0	0	104800	0
0	144000	0	0	0	0	432000	0	0	0	0	0	0	0	0
0	0	0	0	0	0	576000	0	0	0	0	0	0	0	0
0	144000	0	0	0	0	432000	0	0	0	0	0	0	0	0
0	411200	144000	0	0	0	8000	0	0	0	0	0	0	12800	0
64000	0	0	32000	0	0	0	0	360000	0	0	0	120000	0	0
0	7200	14400	0	0	0	36000	388800	0	0	0	0	0	0	129600
0	283840	0	0	0	0	268400	0	0	0	0	0	0	23760	0
0	212640	172800	0	0	0	97920	0	0	0	0	0	0	92640	0
0	59840	163200	0	9600	22400	192560	0	0	0	0	0	0	128400	0
46080	20240	0	143040	0	98560	23760	0	60480	0	49280	59520	45120	29920	0
172800	132560	0	0	0	0	40240	0	0	0	0	0	0	230400	0
0	358240	0	0	0	0	103680	0	0	0	0	0	0	114080	0
0	188000	0	0	0	0	21840	0	0	0	0	0	0	366160	0
43200	246400	129600	0	0	0	156800	0	0	0	0	0	0	0	0
129600	289600	0	0	0	0	156800	0	0	0	0	0	0	0	0
172800	224000	0	0	0	0	156800	0	0	0	0	0	0	22400	0
0	0	172800	0	0	0	156800	0	0	0	0	0	0	246400	0
0	0	0	0	0	0	0	0	134400	172800	0	112000	156800	0	0
0	291200	163200	0	0	0	89600	0	0	9600	22400	0	0	0	0
0	172800	0	0	0	0	380800	0	0	0	0	0	0	22400	0
0	0	0	0	0	0	384000	0	0	0	0	0	0	192000	0
20160	0	8640	29120	116480	0	0	0	0	39360	0	78400	13440	0	270400
0	179200	172800	0	0	0	44800	0	0	0	0	0	0	179200	0
