topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
15336	3384	6480	9576	144	24912	6048	1512	28296	28728	92376	105696	94824	45072	4176
7776	6624	0	2592	0	0	1728	3168	65088	11088	33264	297792	36288	1152	0
0	222984	6480	0	0	0	129384	0	0	0	0	0	0	107712	0
0	29160	87480	0	0	0	211680	0	0	0	0	0	0	138240	0
0	0	0	0	0	0	136080	0	0	0	0	0	0	330480	0
0	116640	0	0	0	0	349920	0	0	0	0	0	0	0	0
0	331920	116640	0	0	0	8352	0	0	0	0	0	0	9648	0
46080	0	10800	23040	2160	6480	32400	0	259200	0	0	86400	0	0	0
32400	38952	0	0	0	84240	51768	252720	0	0	0	0	0	6480	0
0	260928	0	0	0	0	180576	0	0	0	0	0	0	25056	0
2304	1440	576	77040	81360	7200	432	21600	1440	119088	15840	14544	67968	1008	54720
0	379944	0	0	0	0	43992	0	0	0	0	0	0	42624	0
0	228816	0	0	0	0	137520	0	0	0	0	0	0	100224	0
7776	138240	0	0	0	0	172368	0	0	0	0	0	0	148176	0
69984	15120	69984	0	0	0	136080	0	0	0	0	0	0	175392	0
0	137088	139968	0	0	0	107856	0	0	0	0	0	0	81648	0
0	7056	139968	0	0	0	94752	0	0	0	0	0	0	224784	0
0	25920	0	0	0	0	282240	0	0	0	0	0	0	158400	0
0	18144	139968	0	0	0	308448	0	0	0	0	0	0	0	0
0	78048	0	0	0	0	210240	0	0	0	0	0	0	178272	0
0	72000	0	0	0	0	227520	0	0	0	0	0	0	167040	0
0	420336	0	0	0	0	6912	0	0	0	0	0	0	39312	0
0	203544	0	0	0	0	91656	0	0	0	0	0	0	171360	0
0	431568	0	0	0	0	0	0	0	0	0	0	0	34992	0
0	466560	0	0	0	0	0	0	0	0	0	0	0	0	0
0	300960	0	0	0	0	43200	0	0	0	0	0	0	122400	0
0	107568	303264	0	0	0	16848	0	0	0	0	0	0	38880	0
0	0	303264	0	0	0	163296	0	0	0	0	0	0	0	0
0	129600	303264	0	0	0	10368	0	0	0	0	0	0	23328	0
45360	0	84240	22680	0	0	0	0	3888	176904	0	68688	22680	0	42120
0	132624	303264	0	0	0	13392	0	0	0	0	0	0	17280	0
0	145152	303264	0	0	0	18144	0	0	0	0	0	0	0	0
0	154224	303264	0	0	0	9072	0	0	0	0	0	0	0	0
46656	163296	256608	0	0	0	0	0	0	0	0	0	0	0	0
349920	116640	0	0	0	0	0	0	0	0	0	0	0	0	0
