exp_male_type	exp_male_id	number_trials	exp_court	wt_court	exp_fly_feed	wt_fly_feed
KO	10L	4	0	5	8	22
KO	10M	5	8	2	46	34
KO	13F	2	0	17	13	26
KO	21P	3	13	8	19	17
KO	27J	5	0	5	32	52
KO	2V	4	0	1	24	35
KO	3N	4	3	15	21	42
KO	3V 	4	0	1	0	34
KO	6H	4	0	3	28	34
KO	6Q	5	6	5	43	28
KO	7K	3	0	8	19	28
KO	8P	3	4	3	32	26
KO	8R	5	1	3	33	35
ND	10A	2	0	2	3	7
ND	10K	3	3	2	10	25
ND	10Q	4	2	1	24	22
ND	12J	5	2	7	34	63
ND	12N	3	4	8	25	27
ND	14K	3	11	10	39	17
ND	16A	2	3	5	12	10
ND	16F	2	4	0	10	12
ND	17O	4	2	0	39	35
ND	19J	4	0	2	27	60
ND	1G	2	0	2	11	29
ND	1P	3	3	2	22	22
ND	23J	2	3	4	37	57
ND	24A	4	6	2	29	23
ND	26J	3	1	0	7	3
ND	5V	2	0	5	22	14
ND	6T	2	1	1	6	14
ND	8O	2	3	1	10	11
ND	9O	3	4	1	33	28
