ID	type	sex	days_since_eclosion	passed_cpd_0.2
10L	KO	male	0	yes
11A	KO	male	0	yes
11G	KO	male	0	yes
11P	KO	female	0	yes
12O	KO	female	0	yes
13K	KO	male	0	yes
14J	KO	female	0	yes
14O	KO	female	0	yes
15K	KO	female	0	yes
16J	KO	female	0	yes
17N	KO	female	0	yes
18N	KO	male	0	yes
18P	KO	female	0	yes
1N	KO	female	0	yes
21P	KO	male	0	yes
27J	KO	male	1	yes
2H	KO	male	0	yes
2L	KO	female	0	yes
2N	KO	female	0	yes
31J	KO	female	0	yes
3A	KO	male	0	yes
4A	KO	male	0	yes
4H	KO	female	0	yes
4J	KO	female	1	yes
5H	KO	male	0	yes
5M	KO	male	0	yes
6C	KO	female	0	yes
6H	KO	male	0	yes
6N	KO	female	0	yes
6Q	KO	male	0	yes
7J	KO	female	1	yes
7K	KO	male	0	yes
8J	KO	male	1	yes
8P	KO	male	0	yes
9N	KO	female	0	yes
2J	KO 	female	1	yes
10A	ND	male	1	yes
10G	ND	female	1	yes
10P	ND	male	0	yes
12A	ND	male	0	yes
14A	ND	male	0	yes
16A	ND	male	0	yes
17A	ND	male	0	NA
17O	ND	male	0	yes
19P	ND	male	0	yes
1A	ND	male	1	yes
1B	ND	female	0	yes
1E	ND	male	0	yes
1G	ND	male	0	yes
1Q	ND	female	0	yes
20P	ND	male	0	yes
22A	ND	female	0	yes
24A	ND	male	0	yes
30A	ND	male	0	yes
3D	ND	male	0	yes
3H	ND	male	0	yes
4G	ND	male	0	yes
4Q	ND	female	0	yes
5A	ND	female	0	yes
5E	ND	male	0	yes
5P	ND	male	0	yes
6G	ND	female	1	yes
7A	ND	female	0	yes
7G	ND	female	0	yes
7H	ND	male	0	yes
7P	ND	female	0	yes
8E	ND	male	0	yes
576	wt	male	0	yes
580	wt	male	0	yes
581	wt	male	0	yes
595	wt	female	0	yes
596	wt	male	0	yes
597	wt	female	0	yes
599	wt	female	0	yes
609	wt	female	0	yes
610	wt	male	1	yes
616	wt	male	0	yes
644	wt	female	0	yes
655	wt	female	0	yes
658	wt	female	0	yes
663	wt	male	0	yes
665	wt	male	0	yes
666	wt	female	0	yes
667	wt	male	0	yes
668	wt	female	0	yes
670	wt	female	0	yes
671	wt	male	0	yes
672	wt	male	0	yes
673	wt	female	0	yes
674	wt	female	0	yes
675	wt	male	0	yes
676	wt	female	0	yes
683	wt	male	0	yes
693	wt	female	0	yes
694	wt	female	0	yes
695	wt	male	0	yes
7Q	wt	female	0	yes
