Male_ID,court_white,court_red,type,redYN,yellowYN
A20_004,12,3,CC,N,N
A20_005,6,3,CC,N,N
A20_125,0,1,TTC,Y,N
A20_149,0,0,TTC,Y,N
A20_164,3,9,TTC,Y,N
A20_219,0,4,TTC,Y,N
A20_233,0,0,TTC,Y,N
A20_234,0,0,TTC,Y,N
A20_235,0,2,TTC,Y,N
A20_242,0,0,TTC,Y,N
A20_271,0,0,TTC,Y,N
A20_280,0,5,TTC,Y,N
A20_283,0,2,TTC,Y,N
A20_292,0,0,TTC,Y,N
A20_293,0,1,TTC,Y,N
A20_344,0,1,TTC,Y,N
A20_346,0,3,TTC,Y,N
A20_350,0,0,TTC,Y,N
A21_001,15,9,CCx(CCxTTC),Y,N
A21_012,8,0,CCx(CCxTTC),N,N
A21_019,11,10,CCx(CCxTTC),Y,N
A21_025,4,5,CCx(CCxTTC),Y,N
A21_026,10,4,CCx(CCxTTC),N,Y
A21_040,5,8,CCx(CCxTTC),Y,Y
A21_041,5,8,CCx(CCxTTC),N,Y
A21_042,7,5,CCx(CCxTTC),N,N
A21_048,2,4,CCx(CCxTTC),Y,Y
A21_049,9,12,CCx(CCxTTC),N,Y
A21_059,4,3,CCx(CCxTTC),N,N
A21_069,3,5,CCx(CCxTTC),Y,N
A21_075,6,3,CCx(CCxTTC),Y,N
A21_077,0,0,CCx(CCxTTC),N,N
A21_099,3,9,CCx(CCxTTC),Y,Y
A21_101,4,1,CCx(CCxTTC),N,Y
A21_129,2,4,CCx(CCxTTC),N,N
A21_136,10,6,CCx(CCxTTC),N,Y
A21_139,20,11,CCx(CCxTTC),N,N
A21_143,8,4,CCx(CCxTTC),N,Y
A21_154,18,19,CCx(CCxTTC),N,Y
A21_155,6,6,CCx(CCxTTC),N,N
A21_159,24,19,CCx(CCxTTC),N,Y
A21_162,14,6,CCx(CCxTTC),N,N
A21_166,7,5,CCx(CCxTTC),N,Y
A21_179,16,8,CCx(CCxTTC),N,Y
A21_186,11,6,CCx(CCxTTC),N,Y
A21_187,0,9,CCx(CCxTTC),Y,N
A21_189,1,8,CCx(CCxTTC),N,N
A21_213,11,9,CCx(CCxTTC),Y,Y
A21_217,1,3,CCx(CCxTTC),N,N
A21_218,13,13,CCx(CCxTTC),Y,N
A21_219,3,8,CCx(CCxTTC),N,Y
A21_243,7,3,CCx(CCxTTC),Y,N
A21_290,18,19,CCx(CCxTTC),Y,Y
A21_296,6,8,CCx(CCxTTC),N,Y
A21_297,8,9,CCx(CCxTTC),N,Y
A21_299,5,3,CCx(CCxTTC),N,Y
A21_300,1,1,CCx(CCxTTC),Y,N
A21_301,21,20,CCx(CCxTTC),N,Y
A21_302,0,1,CCx(CCxTTC),N,Y
A21_320,9,9,CC,N,N
A21_325,11,10,CCx(CCxTTC),Y,N
A21_329,14,6,CC,N,N
A21_331,11,5,CCx(CCxTTC),N,Y
A21_333,6,4,CC,N,N
A21_335,9,12,CC,N,N
A21_336,15,8,CC,N,N
A21_344,15,8,CCx(CCxTTC),N,Y
A21_346,8,22,CCx(CCxTTC),N,N
A21_347,8,1,CC,N,N
A21_351,6,0,CC,N,N
A21_356,5,6,CC,N,N
A21_359,19,14,CC,N,N
A21_360,12,0,CC,N,N
A21_362,3,11,CCx(CCxTTC),Y,N
A21_363,8,9,CCx(CCxTTC),N,N
A21_364,13,9,CC,N,N
A21_368,3,7,CCx(CCxTTC),Y,Y
A21_388,10,17,CCx(CCxTTC),N,N
A21_390,12,14,CCx(CCxTTC),N,N
A21_402,10,18,CCx(CCxTTC),Y,Y
A21_405,15,7,CCx(CCxTTC),N,N
A21_406,2,0,CCx(CCxTTC),Y,N
A21_407,0,0,CCx(CCxTTC),N,N
A21_410,25,14,CCx(CCxTTC),N,N
A21_439,9,10,CCx(CCxTTC),N,Y
A21_440,10,14,CCx(CCxTTC),N,N
A21_468,10,7,CCx(CCxTTC),N,N
A21_477,8,6,CCx(CCxTTC),N,N
A21_480,3,5,CCx(CCxTTC),Y,Y
A21_481,8,12,CCx(CCxTTC),Y,N
A21_493,10,10,CCx(CCxTTC),Y,Y
A21_495,12,1,CCx(CCxTTC),N,N
A21_503,7,10,CCx(CCxTTC),Y,N
A21_510,2,8,CCx(CCxTTC),N,Y
A21_512,4,5,CCx(CCxTTC),Y,Y
A21_526,9,16,CCx(CCxTTC),N,Y
A21_557,15,9,CCx(CCxTTC),N,N
