location	LR	alpha
308.000000	0.913009	1.189047e-02
5310.129503	0.031534	2.231510e-02
10312.259006	9.676012	4.562742e-04
15314.388508	0.361151	4.514841e-02
20316.518011	0.150496	1.068430e-03
25318.647514	20.795472	6.509832e-05
30320.777017	3.319365	3.324228e-04
35322.906520	0.018768	3.386770e-03
40325.036023	0.187284	5.978371e-03
45327.165525	0.017135	9.725445e-03
50329.295028	2.073266	8.421885e-04
55331.424531	0.188601	9.573564e-03
60333.554034	0.005596	9.397354e-02
65335.683537	0.941977	1.821961e-03
70337.813040	0.010977	1.366405e-01
75339.942542	0.098244	3.324683e-01
80342.072045	0.000000	2.310894e-01
85344.201548	0.140202	1.506915e-01
90346.331051	0.003895	4.824486e-02
95348.460554	0.245815	3.923434e-03
100350.590057	0.286954	4.650818e-02
105352.719559	0.724359	1.614599e-03
110354.849062	0.449578	1.469221e-03
115356.978565	0.899356	3.796789e-03
120359.108068	0.161311	2.483662e-02
125361.237571	0.029125	8.563090e-03
130363.367074	0.000175	1.132245e-02
135365.496576	0.072319	2.627797e-03
140367.626079	0.000000	2.630075e-01
145369.755582	0.278253	2.682749e-03
150371.885085	1.233508	2.529917e-03
155374.014588	0.017277	1.534111e-03
160376.144091	0.645512	1.202218e-03
165378.273593	1.585244	4.108501e-03
170380.403096	6.513869	1.607255e-04
175382.532599	0.030018	2.036795e-02
180384.662102	4.455233	1.798312e-04
185386.791605	24.218826	4.748347e-05
190388.921107	14.639786	6.921821e-05
195391.050610	3.369379	2.338176e-03
200393.180113	23.552716	5.396262e-05
205395.309616	0.350887	1.052421e-02
210397.439119	1.002771	1.337235e-04
215399.568622	0.059651	9.026811e-03
220401.698124	0.026611	3.449727e-03
225403.827627	1.686741	1.442458e-03
230405.957130	3.821233	5.331119e-04
235408.086633	0.069516	4.346853e-03
240410.216136	0.046223	7.551334e+00
245412.345639	0.032164	2.850283e-03
250414.475141	1.703306	5.811323e-03
255416.604644	2.881507	2.324829e-04
260418.734147	0.922216	2.381809e-03
265420.863650	0.554534	1.407038e-03
270422.993153	4.123171	5.233305e-04
275425.122656	0.000000	6.971773e-02
280427.252158	0.007917	9.508662e+00
285429.381661	0.038849	1.043433e-03
290431.511164	0.317689	4.220829e-04
295433.640667	2.786403	3.842005e-03
300435.770170	5.242632	4.840148e-04
305437.899673	0.901751	9.914579e-04
310440.029175	0.137651	4.616959e-02
315442.158678	3.133946	5.969872e-04
320444.288181	0.000053	1.348422e-02
325446.417684	1.359650	4.685725e-03
330448.547187	0.000000	5.098893e-03
335450.676689	0.799084	3.254890e-02
340452.806192	1.112185	1.266857e-02
345454.935695	5.770874	3.376710e-04
350457.065198	0.000000	6.202185e+00
355459.194701	0.000000	7.010145e-03
360461.324204	0.931012	9.582807e-03
365463.453706	0.746859	4.062365e-03
370465.583209	0.035154	5.018194e-01
375467.712712	0.494027	2.031307e-02
380469.842215	0.330853	2.937855e-03
385471.971718	0.418968	4.101227e-03
390474.101221	1.712431	7.854326e-03
395476.230723	0.167804	5.574814e-02
400478.360226	0.013803	2.215988e-02
405480.489729	0.041247	2.237567e-02
410482.619232	0.704823	4.869833e-03
415484.748735	0.081035	4.019841e-02
