gene_id scaffold start end
HMEL005427 Hmel200067o 69 6264
HMEL002216 Hmel201001o 10505178 10506149
HMEL011647 Hmel201001o 11230994 11243629
HMEL011434 Hmel201001o 14208540 14229353
HMEL011436 Hmel201001o 14260513 14295660
HMEL011441 Hmel201001o 14346664 14348251
HMEL010595 Hmel202001o 477808 479675
HMEL014155 Hmel202001o 513765 520394
HMEL007044 Hmel202001o 1382918 1386311
HMEL003566 Hmel202001o 1509245 1511219
HMEL022562 Hmel202001o 1926004 1928051
HMEL022600 Hmel202001o 2228638 2231386
HMEL008322 Hmel202001o 2747584 2749093
HMEL008342 Hmel202001o 2941628 2949989
HMEL008343 Hmel202001o 2956679 2965120
HMEL009426 Hmel202001o 4075466 4078072
HMEL002115 Hmel202001o 5097676 5102550
HMEL002116 Hmel202001o 5107467 5114588
HMEL009235 Hmel202001o 6615555 6621241
HMEL011677 Hmel202001o 8703873 8713801
HMEL011676 Hmel202001o 8715612 8722936
HMEL011675 Hmel202001o 8742284 8745917
HMEL012259 Hmel203003o 5165214 5174076
HMEL025035 Hmel203003o 6383614 6390610
HMEL025033 Hmel203003o 6579183 6616254
HMEL025056 Hmel203003o 6713200 6713659
HMEL025034 Hmel203003o 6800429 6829811
HMEL025000 Hmel203003o 7016164 7032672
HMEL025055 Hmel203003o 7096619 7097875
HMEL025054 Hmel203003o 7110842 7143062
HMEL025053 Hmel203003o 7194063 7206653
HMEL025052 Hmel203003o 7263004 7265145
HMEL025051 Hmel203003o 7265698 7267203
HMEL025050 Hmel203003o 7267700 7269795
HMEL025049 Hmel203003o 7272399 7273457
HMEL025048 Hmel203003o 7276342 7277852
HMEL025032 Hmel203003o 7358079 7359907
HMEL004030 Hmel203003o 9772603 9789804
HMEL003453 Hmel204001o 14950 17721
HMEL003682 Hmel204001o 1498718 1500877
HMEL022528 Hmel204001o 3121937 3122656
HMEL022550 Hmel204001o 3128413 3130086
HMEL003110 Hmel204001o 3430155 3432918
HMEL012960 Hmel204001o 4880715 4883778
HMEL012962 Hmel204001o 4887004 4891908
HMEL012963 Hmel204001o 4893153 4898145
HMEL008378 Hmel204001o 5488280 5492440
HMEL017779 Hmel204001o 5563942 5570177
HMEL007447 Hmel204001o 5784848 5788106
HMEL005553 Hmel204001o 8578833 8586427
HMEL017463 Hmel204001o 9174363 9179044
HMEL017464 Hmel204001o 9190534 9206296
