scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr18,1,20000,9761,1732,1061,9.3551,2.814,0.5375,0.0371,0.0325
chr18,5001,25000,13375,1554,939,4.9365,2.3503,0.3549,0.0146,0.0131
chr18,10001,30000,16496,1078,634,2.9355,0.9806,0.4992,0.0193,0.017
chr18,15001,35000,23124,858,486,1.578,1.3472,0.0789,0.0025,0.0024
chr18,20001,40000,31258,756,402,2.9183,1.4097,0.3486,0.0169,0.016
chr18,25001,45000,36597,737,385,2.8627,1.2347,0.3973,0.018,0.0171
chr18,30001,50000,37262,744,391,2.3665,1.0559,0.3829,0.0133,0.0127
chr18,35001,55000,44281,777,443,1.6763,0.6034,0.4707,0.0102,0.0097
chr18,40001,60000,50613,722,430,4.7682,0.0444,0.9815,0.0408,0.0372
chr18,45001,65000,56835,800,499,9.8458,2.5842,0.5842,0.0501,0.0431
chr18,50001,70000,60736,1139,703,9.9458,2.5855,0.5874,0.0402,0.0346
chr18,55001,75000,64799,1049,652,11.2553,2.7549,0.6067,0.0545,0.046
chr18,60001,80000,69629,1142,688,7.8409,3.2857,0.4094,0.0309,0.0268
chr18,65001,85000,73270,991,575,4.0532,1.6319,0.4259,0.0259,0.0235
chr18,70001,90000,80340,971,548,6.5952,3.1264,0.3568,0.0553,0.0496
chr18,75001,95000,85329,1087,617,6.0508,3.4473,0.2741,0.0277,0.0256
chr18,80001,100000,90800,1036,627,6.9337,3.6354,0.3121,0.0373,0.0337
chr18,85001,105000,94418,1184,722,5.6788,3.3221,0.2618,0.0182,0.0168
chr18,90001,110000,100448,1164,752,3.6212,2.3063,0.2218,0.0082,0.0077
chr18,95001,115000,105622,1183,750,2.6056,2.8041,-0.0367,-0.0013,-0.0012
chr18,100001,120000,109301,1104,695,0.687,2.0652,-0.5008,-0.0095,-0.0089
chr18,105001,125000,113337,988,619,0.902,1.5175,-0.2544,-0.0045,-0.0042
chr18,110001,130000,119960,983,603,0.3781,1.041,-0.4672,-0.0052,-0.0048
chr18,115001,135000,126427,992,643,0.7228,0.627,0.071,0.0007,0.0007
chr18,120001,140000,129843,961,630,0.8445,0.7284,0.0738,0.0009,0.0008
chr18,125001,145000,134768,1156,781,1.2495,1.3895,-0.053,-0.001,-0.0008
chr18,130001,150000,140150,1106,751,2.7724,2.1836,0.1188,0.0053,0.0045
chr18,135001,155000,145532,1016,707,3.4111,2.0186,0.2565,0.0194,0.0157
chr18,140001,160000,149254,1084,740,3.7679,2.4307,0.2157,0.0171,0.0142
chr18,145001,165000,153663,860,588,3.168,1.7696,0.2832,0.0269,0.0241
chr18,150001,170000,159296,783,533,2.4707,2.3064,0.0344,0.0024,0.0021
chr18,155001,175000,165621,792,506,1.441,2.8104,-0.3221,-0.0121,-0.0108
chr18,160001,180000,170683,765,504,1.3125,2.3218,-0.2777,-0.0082,-0.0072
chr18,165001,185000,175564,932,609,1.3463,2.4906,-0.2982,-0.0079,-0.007
