scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
chr1,1,20000,10305,16467,646,31.0846,0.147,0.9906,0.4327,0.2652
chr1,5001,25000,15292,16971,625,36.1918,0.1011,0.9944,0.4588,0.2614
chr1,10001,30000,20137,16969,611,41.5178,3.1872,0.8574,0.4701,0.2331
chr1,15001,35000,25021,17620,633,34.0598,5.4857,0.7226,0.4059,0.1457
chr1,20001,40000,30084,17763,759,28.8485,6.8899,0.6144,0.3613,0.1123
chr1,25001,45000,35072,17622,804,19.3577,7.9663,0.4169,0.2534,0.0589
chr1,30001,50000,39335,16837,766,16.7597,5.4243,0.511,0.2961,0.06
chr1,35001,55000,44211,15295,708,19.0715,5.4844,0.5533,0.3493,0.0847
chr1,40001,60000,50077,15026,663,27.6145,6.8426,0.6028,0.3402,0.1159
chr1,45001,65000,55806,14916,452,27.6078,5.7606,0.6547,0.3662,0.1503
chr1,50001,70000,60631,15738,426,24.7974,5.8974,0.6157,0.3357,0.1489
chr1,55001,75000,64333,15623,333,19.5288,3.521,0.6945,0.3523,0.167
chr1,65001,85000,74696,13522,363,7.8088,0.8208,0.8098,0.2699,0.0585
chr1,70001,90000,80554,13070,350,5.0521,0.1643,0.937,0.1864,0.0464
chr1,75001,95000,84762,12599,410,5.6411,0.1751,0.9398,0.162,0.0509
chr1,80001,100000,88817,12335,493,14.8984,0.5269,0.9317,0.3017,0.1201
chr1,85001,105000,94761,12559,529,26.8914,1.4121,0.9002,0.3524,0.2598
chr1,90001,110000,100900,13039,723,32.2249,2.7046,0.8451,0.3613,0.2705
chr1,95001,115000,105414,14157,864,35.3876,3.8838,0.8022,0.346,0.2579
chr1,100001,120000,110103,15740,944,33.3037,6.5723,0.6704,0.277,0.2084
chr1,105001,125000,114937,15814,923,25.4759,7.0519,0.5664,0.2358,0.1668
chr1,110001,130000,119880,15283,753,24.0188,6.2043,0.5894,0.2591,0.1793
chr1,115001,135000,124699,15467,770,26.096,6.3907,0.6066,0.2927,0.1768
chr1,120001,140000,129815,14856,761,22.6516,3.7289,0.7173,0.3637,0.1734
chr1,125001,145000,134921,14505,671,15.6103,2.8171,0.6943,0.3672,0.1404
chr1,130001,150000,139970,14511,671,11.4542,2.4357,0.6493,0.2643,0.1012
chr1,135001,155000,143540,11958,426,5.6383,1.0679,0.6815,0.2655,0.0874
