gene_id scaffold start end
HMEL002216 chr1 10505178 10506149
HMEL011647 chr1 11230994 11243629
HMEL011434 chr1 14208540 14229353
HMEL011436 chr1 14260513 14295660
HMEL011441 chr1 14346664 14348251
HMEL010595 chr2 477808 479675
HMEL014155 chr2 513765 520394
HMEL007044 chr2 1382918 1386311
HMEL003566 chr2 1509245 1511219
HMEL022562 chr2 1926004 1928051
HMEL022600 chr2 2228638 2231386
HMEL008322 chr2 2747584 2749093
HMEL008342 chr2 2941628 2949989
HMEL008343 chr2 2956679 2965120
HMEL009426 chr2 4075466 4078072
HMEL002115 chr2 5097676 5102550
HMEL002116 chr2 5107467 5114588
HMEL009235 chr2 6615555 6621241
HMEL011677 chr2 8703873 8713801
HMEL011676 chr2 8715612 8722936
HMEL011675 chr2 8742284 8745917
HMEL012259 chr3 5219804 5228666
HMEL025035 chr3 6438204 6445200
HMEL025033 chr3 6633773 6670844
HMEL025056 chr3 6767790 6768249
HMEL025034 chr3 6855019 6884401
HMEL025000 chr3 7070754 7087262
HMEL025055 chr3 7151209 7152465
HMEL025054 chr3 7165432 7197652
HMEL025053 chr3 7248653 7261243
HMEL025052 chr3 7317594 7319735
HMEL025051 chr3 7320288 7321793
HMEL025050 chr3 7322290 7324385
HMEL025049 chr3 7326989 7328047
HMEL025048 chr3 7330932 7332442
HMEL025032 chr3 7412669 7414497
HMEL004030 chr3 9827193 9844394
HMEL003453 chr4 14950 17721
HMEL003682 chr4 1498718 1500877
HMEL022528 chr4 3121937 3122656
HMEL022550 chr4 3128413 3130086
HMEL003110 chr4 3430155 3432918
HMEL012960 chr4 4880715 4883778
HMEL012962 chr4 4887004 4891908
HMEL012963 chr4 4893153 4898145
HMEL008378 chr4 5488280 5492440
HMEL017779 chr4 5563942 5570177
HMEL007447 chr4 5784848 5788106
HMEL005553 chr4 8578833 8586427
HMEL017463 chr4 9174363 9179044
HMEL017464 chr4 9190534 9206296
HMEL002987 chr5 595772 604054
HMEL017066 chr5 900929 904106
HMEL017067 chr5 898487 900678
HMEL017068 chr5 895431 897570
HMEL017069 chr5 892200 894612
HMEL017070 chr5 886529 890979
HMEL017071 chr5 882399 890663
HMEL022575 chr5 874201 874936
HMEL017073 chr5 868255 871060
HMEL022564 chr5 909783 911327
HMEL007215 chr5 3538765 3549549
HMEL014734 chr5 6170892 6176630
HMEL012717 chr5 9085947 9089258
HMEL018124 chr6 3500316 3502759
HMEL006763 chr6 3330374 3333268
HMEL006762 chr6 3315836 3318804
HMEL008894 chr6 3840113 3859580
HMEL003208 chr6 6457466 6462834
HMEL002647 chr6 6944802 6968023
HMEL022558 chr6 7325908 7331489
HMEL022518 chr6 7502203 7505327
HMEL015770 chr6 7519061 7522293
HMEL022539 chr6 7522545 7526956
HMEL015783 chr6 7729206 7742853
HMEL015784 chr6 7743927 7749030
HMEL009152 chr6 9693947 9698025
HMEL008033 chr6 9721655 9725147
HMEL017754 chr6 9956204 9959148
HMEL006318 chr6 10590069 10594871
HMEL011518 chr6 11830618 11837459
HMEL022597 chr6 11928625 11937303
HMEL022517 chr6 12025190 12028831
HMEL014411 chr6 13501455 13530545
HMEL011223 chr7 1615180 1622635
HMEL011231 chr7 1707852 1724097
HMEL008505 chr7 2149235 2159676
HMEL008439 chr7 3708823 3722596
HMEL013859 chr7 5351100 5354756
HMEL003271 chr7 5864874 5867741
HMEL003270 chr7 5868034 5872555
HMEL005461 chr7 5929555 5938237
HMEL006305 chr7 9213170 9223131
HMEL013904 chr7 9441514 9446993
HMEL022637 chr8 2250163 2253407
HMEL009110 chr8 3521044 3533811
HMEL009106 chr8 3629565 3635415
HMEL016481 chr8 4557341 4562531
HMEL022607 chr8 4232357 4234698
HMEL022592 chr8 5508094 5516190
HMEL005605 chr8 5739974 5742212
HMEL006595 chr8 5910646 5915619
HMEL006095 chr9 141725 145406
HMEL007611 chr9 1303370 1305105
HMEL007613 chr9 1312793 1314351
HMEL009495 chr9 4040223 4042076
HMEL015713 chr9 5014911 5019243
HMEL010767 chr9 6359700 6362068
HMEL010768 chr9 6363745 6366354
HMEL022648 chr9 6618894 6624343
HMEL022651 chr9 6627564 6632064
HMEL022542 chr9 6650391 6655799
HMEL022538 chr9 6656140 6663335
HMEL022628 chr9 6669913 6675578
HMEL022641 chr9 6677741 6682725
HMEL022619 chr9 6687535 6698050
HMEL022604 chr9 6699399 6704531
HMEL022664 chr9 6712228 6717173
HMEL022625 chr9 6717900 6722182
HMEL009260 chr9 7533922 7545119
HMEL003876 chr9 7773494 7789418
HMEL022591 chr10 1516675 1525065
HMEL022606 chr10 1802574 1837634
HMEL007550 chr10 1864976 1870974
HMEL002876 chr10 2946362 2950424
HMEL002899 chr10 3176284 3181378
HMEL002901 chr10 3249290 3264479
HMEL002902 chr10 3269281 3273702
HMEL002903 chr10 3274645 3281760
HMEL002904 chr10 3280411 3284007
HMEL002905 chr10 3283799 3286163
HMEL002906 chr10 3286615 3289025
HMEL002910 chr10 3371882 3375048
HMEL017163 chr10 3926117 3928561
HMEL017162 chr10 3930529 3931818
HMEL017161 chr10 3939462 3940767
HMEL017154 chr10 4057506 4059147
HMEL017153 chr10 4062400 4064404
HMEL022560 chr10 4156250 4158542
HMEL022640 chr10 4164206 4167678
HMEL022652 chr10 4176693 4179683
HMEL022672 chr10 4212360 4214586
HMEL022655 chr10 4215835 4219330
HMEL022629 chr10 4220464 4223025
HMEL022644 chr10 4225134 4227676
