scaffold	start	end	mid	sites	lnL
chr18	322	1354	847	50	-635.22435
chr18	1377	1979	1679	50	-430.16382
chr18	2015	3544	2825	50	-471.78794
chr18	3547	3870	3732	50	-356.35927
chr18	3882	4856	4164	50	-474.87966
chr18	4862	5539	5244	50	-323.50493
chr18	5545	6285	5811	50	-375.50023
chr18	6287	6650	6493	50	-267.20036
chr18	6670	7046	6851	50	-283.82860
chr18	7050	8329	7862	50	-511.73893
chr18	8347	9235	8896	50	-469.55301
chr18	9253	9820	9565	50	-331.26843
chr18	9830	10782	10446	50	-358.34697
chr18	10783	11387	11105	50	-391.29021
chr18	11388	12272	11852	50	-521.94381
chr18	12340	13357	12887	50	-455.43428
chr18	13361	14079	13604	50	-327.39724
chr18	14081	15177	14562	50	-370.92758
chr18	15185	15945	15565	50	-366.66813
chr18	15948	16439	16162	50	-487.21290
chr18	16466	17539	16895	50	-455.51864
chr18	17549	18339	17936	50	-422.10524
chr18	18371	19176	18671	50	-553.02743
chr18	19179	22428	21399	50	-320.05383
chr18	22592	23339	22888	50	-361.37720
chr18	23361	28772	24224	50	-404.49793
chr18	28775	31029	30263	50	-391.28938
chr18	31055	31845	31411	50	-435.45046
chr18	31854	32701	32314	50	-391.34717
chr18	32702	36064	33809	50	-435.52747
chr18	36066	36587	36282	50	-348.40545
chr18	36611	37723	37173	50	-317.00807
chr18	37729	38779	38349	50	-313.93680
chr18	38783	40118	39509	50	-508.11338
chr18	40123	41456	40901	50	-413.62508
chr18	41457	43298	42133	50	-357.14622
chr18	43302	50922	45675	50	-531.82228
chr18	50941	51675	51314	50	-378.40229
chr18	51676	52460	52060	50	-345.34931
chr18	52465	53492	53038	50	-291.04797
chr18	53495	54842	54183	50	-352.64784
chr18	54865	55303	55069	50	-326.25553
chr18	55305	56766	56143	50	-412.88267
chr18	56773	58089	57517	50	-450.62548
chr18	58095	60306	58697	50	-339.05303
chr18	60317	61345	60723	50	-387.14372
chr18	61348	62168	61770	50	-398.48769
chr18	62173	63596	62974	50	-491.50078
chr18	63651	65441	64486	50	-475.83056
chr18	65442	66932	66316	50	-450.04474
chr18	66944	68275	67766	50	-471.27136
chr18	68276	68979	68656	50	-398.08928
chr18	68981	69807	69388	50	-415.31632
chr18	69810	71630	70254	50	-348.50502
chr18	71633	72069	71824	50	-485.81052
chr18	72087	75384	73879	50	-461.51218
chr18	75399	76240	75780	50	-445.73218
chr18	76253	76746	76524	50	-249.15262
chr18	76771	77604	77252	50	-305.24076
chr18	77619	79108	78115	50	-551.73415
chr18	79109	80927	80047	50	-420.36915
chr18	80933	84781	82322	50	-598.68114
chr18	84782	85236	85034	50	-511.51050
chr18	85240	85950	85609	50	-549.26762
chr18	85953	86939	86619	50	-442.80294
chr18	87041	88715	87646	50	-754.46531
chr18	88723	91065	89552	50	-328.57261
chr18	91072	92511	91968	50	-372.93912
chr18	92530	93317	92888	50	-330.90904
chr18	93330	94118	93677	50	-420.51136
chr18	94131	94838	94515	50	-337.24380
chr18	94865	95784	95216	50	-333.98811
chr18	95794	97048	96319	50	-324.35617
chr18	97051	98498	97803	50	-379.07527
chr18	98508	99208	98776	50	-287.76696
chr18	99215	100138	99644	50	-327.42266
chr18	100140	101365	100667	50	-333.18511
chr18	101381	102460	101933	50	-314.98455
chr18	102479	103454	102948	50	-258.58311
chr18	103459	104250	103813	50	-321.81191
chr18	104302	105332	104887	50	-272.98928
chr18	105347	106995	106094	50	-315.03294
chr18	106997	107902	107357	50	-368.38112
chr18	107906	108926	108500	50	-264.30383
chr18	108959	109880	109368	50	-342.20566
chr18	109882	111054	110430	50	-334.72316
chr18	111092	112099	111657	50	-355.53140
chr18	112100	112926	112588	50	-292.36729
chr18	112928	113879	113370	50	-282.73649
chr18	113880	114663	114241	50	-350.59740
chr18	114668	115455	115115	50	-301.78562
chr18	115551	116920	116024	50	-316.43338
chr18	116946	117727	117386	50	-265.32555
chr18	117731	122303	119813	50	-298.80629
chr18	122326	123034	122637	50	-295.44946
chr18	123046	123904	123374	50	-269.25102
chr18	123909	125851	124980	50	-353.15622
chr18	125869	126544	126171	50	-261.73442
chr18	126550	127954	127337	50	-298.99430
chr18	127972	128671	128351	50	-290.77892
chr18	128686	129462	129120	50	-317.33895
chr18	129469	130636	130206	50	-447.80977
chr18	130637	131591	131109	50	-290.17302
chr18	131666	132361	131965	50	-291.05097
chr18	132392	133373	132792	50	-267.64689
chr18	133378	134368	133884	50	-318.36554
chr18	134390	135332	134890	50	-350.68343
chr18	135333	137747	136634	50	-448.40246
chr18	137751	141326	139002	50	-288.48684
chr18	141340	142212	141801	50	-343.35522
chr18	142215	143104	142673	50	-346.36029
chr18	143110	143744	143420	50	-272.20479
chr18	143762	144410	144116	50	-534.32970
chr18	144431	145603	144843	50	-462.81849
chr18	145606	147537	146306	50	-633.56970
chr18	147561	148447	147965	50	-420.36991
chr18	148448	149591	149002	50	-338.87465
chr18	149597	150269	149947	50	-346.94949
chr18	150270	151379	150837	50	-304.11841
chr18	151380	152429	152030	50	-388.20199
chr18	152438	154554	154174	50	-484.58103
chr18	154587	157251	156216	50	-425.52721
chr18	157262	158181	157715	50	-299.30952
chr18	158183	159653	158912	50	-546.01558
chr18	159660	161611	160813	50	-331.26201
chr18	161615	162719	162170	50	-337.42728
chr18	162746	166396	165813	50	-371.30994
chr18	166401	167100	166785	50	-328.80702
chr18	167112	170119	168804	50	-525.70241
chr18	170125	171055	170483	50	-319.06801
chr18	171079	172764	171918	50	-332.68855
chr18	172765	173784	173275	50	-409.30081
chr18	173793	174599	174133	50	-359.24976
chr18	174606	175565	175033	50	-296.02565
chr18	175569	178053	176439	50	-312.78033
chr18	178054	179388	178731	50	-369.68954
chr18	179389	180372	179809	50	-370.55937
chr18	180382	181123	180711	50	-331.96668
chr18	181150	182099	181674	50	-271.35438
chr18	182111	182780	182409	50	-303.05039
chr18	182786	183551	183180	50	-306.21396
chr18	183555	187523	184628	50	-354.93288
chr18	187535	189004	188165	50	-310.44401
chr18	189026	193197	192327	50	-374.54462
chr18	193219	194604	193979	50	-336.78908
chr18	194613	195689	195342	50	-295.95415
chr18	195695	196463	195978	50	-320.75044
chr18	196464	197521	196946	50	-275.54147
chr18	197535	198674	198034	50	-283.65805
chr18	198728	203063	200226	50	-345.04033
chr18	203065	203796	203421	50	-366.18779
chr18	203800	205562	204818	50	-410.07957
chr18	205569	206720	206067	50	-272.21970
chr18	206732	207800	207277	50	-287.19058
chr18	207950	209084	208526	50	-245.05944
chr18	209091	210881	210153	50	-341.45053
chr18	211007	211885	211447	50	-283.53093
chr18	211906	212627	212264	50	-355.47432
chr18	212705	216444	213925	50	-404.70119
chr18	216454	216833	216637	50	-331.26918
chr18	216834	219061	218439	50	-430.98145
chr18	219065	221497	219707	50	-295.32907
chr18	221517	225564	222267	50	-308.24298
chr18	226160	229868	228859	50	-412.33740
chr18	229889	230746	230312	50	-314.83835
chr18	230762	232038	231609	50	-351.04145
chr18	232045	233075	232586	50	-382.13821
chr18	233143	236709	235025	50	-324.71522
chr18	236764	237785	237378	50	-323.10983
chr18	237827	238908	238435	50	-358.53110
chr18	238909	239748	239208	50	-487.76729
chr18	239751	240303	240016	50	-379.11193
chr18	240306	240692	240510	50	-366.48001
chr18	240696	240994	240844	50	-397.63839
chr18	240995	241386	241158	50	-323.69978
chr18	241389	241874	241589	50	-363.40777
chr18	241881	242190	242038	50	-328.39486
chr18	242192	242650	242414	50	-398.33376
chr18	242656	243060	242845	50	-386.33138
chr18	243065	243743	243408	50	-303.50290
chr18	243748	244203	243975	50	-339.02811
chr18	244228	244782	244404	50	-365.42660
chr18	244796	251281	248545	50	-333.20920
chr18	251293	252477	251742	50	-384.86397
chr18	252508	253209	252864	50	-325.67453
chr18	253223	254254	253820	50	-382.30329
chr18	254257	256986	256180	50	-344.90522
chr18	257008	261038	260017	50	-387.59625
chr18	261046	263056	262377	50	-415.72136
chr18	263069	265867	264468	50	-321.85466
chr18	265885	266995	266389	50	-346.34136
chr18	267005	268349	267560	50	-379.17540
chr18	268402	269633	269084	50	-289.93049
chr18	269637	270465	270013	50	-331.94078
chr18	270498	272920	271674	50	-431.32204
chr18	272956	274213	273599	50	-340.89229
chr18	274225	275697	275028	50	-346.50303
chr18	275783	276359	276139	50	-318.72743
chr18	276368	276972	276668	50	-333.94158
